ocid,compiledRelease/id,compiledRelease/tag,compiledRelease/date,compiledRelease/ocid,compiledRelease/publishedDate,compiledRelease/initiationType,compiledRelease/buyer/id,compiledRelease/buyer/name,compiledRelease/planning/budget/description,compiledRelease/planning/budget/project,compiledRelease/planning/budget/projectID,compiledRelease/tender/id,compiledRelease/tender/title,compiledRelease/tender/description,compiledRelease/tender/procuringEntity/id,compiledRelease/tender/procuringEntity/name,compiledRelease/tender/datePublished,compiledRelease/tender/procurementMethodDetails,compiledRelease/tender/mainProcurementCategory,compiledRelease/tender/additionalProcurementCategories,compiledRelease/tender/value/amount,compiledRelease/tender/value/currency,compiledRelease/tender/value/currencyName,compiledRelease/tender/value/amount_PEN,compiledRelease/tender/tenderPeriod/startDate,compiledRelease/tender/tenderPeriod/endDate,compiledRelease/tender/enquiryPeriod/startDate,compiledRelease/tender/enquiryPeriod/endDate,compiledRelease/tender/enquiryPeriod/durationInDays,compiledRelease/tender/numberOfTenderers,compiledRelease/tender/hasTenderInformationProtectedByLaw,compiledRelease/dataSegmentation/id,compiledRelease/dataSegmentation/criteria,compiledRelease/tender/procurementMethod,compiledRelease/planning/budget/amount/amount,compiledRelease/planning/budget/amount/currency,compiledRelease/planning/budget/amount/currencyName
ocds-dgv273-seacev3-1251151,ocds-dgv273-seacev3-1251151-2026-09-18T10:23:24.566491-05:00,compiled,2026-09-18T10:23:24.566478-05:00,ocds-dgv273-seacev3-1251151,2026-09-18T10:23:24.566496-05:00,tender,PE-CONSUCODE-1157,MUNICIPALIDAD DISTRITAL DE LLAYLLA,Fondos Públicos,"RENOVACION DE PUENTE; EN EL(LA) CAMINO VECINAL (CODIGO DE RUTA JU 1567) EN EL CENTRO POBLADO PORVENIR  ( PUENTE LONG. =0.023 KM) EN EL CENTRO POBLADO PORVENIR, DISTRITO DE LLAYLLA, PROVINCIA SATIPO, DEPARTAMENTO JUNIN",2676565,1251151,LP-ABR-7-2026-MDLL/C-1,"EJECUCIÓN DE LA OBRA IOARR: ¿RENOVACION DE PUENTE; EN EL(LA) CAMINO VECINAL (CÓDIGO DE RUTA JU1567) EN EL CENTRO POBLADO PORVENIR (LONG. =0.023 KM) EN EL CENTRO POBLADO PORVENIR, DISTRITO DE LLAYLLA, PROVINCIA SATIPO, DEPARTAMENTO JUNIN¿.",PE-CONSUCODE-1157,MUNICIPALIDAD DISTRITAL DE LLAYLLA,2026-06-17T19:23:00-05:00,Licitación Pública Abreviada,works,works,3231949.99,PEN,Soles,3231949.99,2026-06-17T00:00:00-05:00,2026-06-17T00:00:00-05:00,2026-06-18T00:01:00-05:00,2026-06-22T23:59:00-05:00,4,24,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1246801,ocds-dgv273-seacev3-1246801-2026-09-18T10:23:23.796108-05:00,compiled,2026-09-18T10:23:23.796095-05:00,ocds-dgv273-seacev3-1246801,2026-09-18T10:23:23.796113-05:00,tender,PE-CONSUCODE-1057,MUNICIPALIDAD DISTRITAL DE RIO GRANDE - PALPA,Fondos Públicos,MEJORAMIENTO DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN EL CENTRO POBLADO LA ISLA   DISTRITO DE RIO GRANDE DE LA PROVINCIA DE PALPA DEL DEPARTAMENTO DE ICA,2672891,1246801,LP-ABR-1-2026-CS/MDRG-1,CONTRATACION PARA LA EJECUCION DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN EL CENTRO POBLADO LA ISLA DISTRITO DE RIO GRANDE DE LA PROVINCIA DE PALPA DEL DEPARTAMENTO DE ICA CON CUI N° 2672891,PE-CONSUCODE-1057,MUNICIPALIDAD DISTRITAL DE RIO GRANDE - PALPA,2026-06-30T22:25:00-05:00,Licitación Pública Abreviada,works,works,1466610.81,PEN,Soles,1466610.81,2026-06-30T00:00:00-05:00,2026-06-30T00:00:00-05:00,2026-07-01T00:01:00-05:00,2026-07-03T23:59:00-05:00,2,21,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1250346,ocds-dgv273-seacev3-1250346-2026-09-18T10:23:21.714997-05:00,compiled,2026-09-18T10:23:21.714984-05:00,ocds-dgv273-seacev3-1250346,2026-09-18T10:23:21.715002-05:00,tender,PE-CONSUCODE-1979,INSTITUTO NACIONAL DE SALUD,Fondos Públicos,,,1250346,LP-ABR-5-2026-INS-1,ADQUISICIÓN DE MEDIO DE TRANSPORTE VIRAL X 3 ML,PE-CONSUCODE-1979,INSTITUTO NACIONAL DE SALUD,2026-06-23T17:05:00-05:00,Licitación Pública Abreviada,goods,goods,0.0,PEN,Soles,0.0,2026-06-23T00:00:00-05:00,2026-06-23T00:00:00-05:00,2026-06-24T00:01:00-05:00,2026-06-26T23:59:00-05:00,2,,True,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-2026-1967-27,ocds-dgv273-seacev3-2026-1967-27-2026-09-18T10:23:21.640854-05:00,compiled,2026-09-18T10:23:21.640841-05:00,ocds-dgv273-seacev3-2026-1967-27,2026-09-18T10:23:21.640859-05:00,tender,PE-CONSUCODE-1967,INSTITUTO NACIONAL DE DEFENSA CIVIL,Fondos Públicos,,,1229387,CP SER-SM-5-2026-INDECI.-1,SEGURIDAD Y VIGILANCIA PARA DIRECCION DESCONCENTRADA DE PASCO,PE-CONSUCODE-1967,INSTITUTO NACIONAL DE DEFENSA CIVIL,2026-06-26T18:18:00-05:00,Concurso Público de Servicios,services,services,546967.2,PEN,Soles,546967.2,2026-06-26T00:00:00-05:00,2026-06-26T00:00:00-05:00,2026-06-27T00:01:00-05:00,2026-07-08T23:59:00-05:00,11,14,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1224465,ocds-dgv273-seacev3-1224465-2026-09-18T10:23:21.182243-05:00,compiled,2026-09-18T10:23:21.182231-05:00,ocds-dgv273-seacev3-1224465,2026-09-18T10:23:21.182249-05:00,tender,PE-CONSUCODE-1711,MUNICIPALIDAD DISTRITAL DE SANTA LUCIA - LAMPA,Fondos Públicos,"ADQUISICION DE RETROEXCAVADORA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTA LUCIA  DISTRITO DE SANTA LUCIA, PROVINCIA LAMPA, DEPARTAMENTO PUNO",2710380,1224465,DIRECTA-DIRECTA-1-2026-MDSL-1,ADQUISICION DE RETROEXCAVADORA,PE-CONSUCODE-1711,MUNICIPALIDAD DISTRITAL DE SANTA LUCIA - LAMPA,2026-09-10T17:29:00-05:00,Contratación Directa,goods,goods,615040.0,PEN,Nuevos Soles,615040.0,,,,,,1,False,2026-06,añoPublicacionProceso;mesPublicacionProceso,direct,,,
ocds-dgv273-seacev3-1250498,ocds-dgv273-seacev3-1250498-2026-09-18T10:23:20.582176-05:00,compiled,2026-09-18T10:23:20.582164-05:00,ocds-dgv273-seacev3-1250498,2026-09-18T10:23:20.582181-05:00,tender,PE-CONSUCODE-1585,MUNICIPALIDAD DISTRITAL DE CASTILLA,Fondos Públicos,,,1250498,LP-ABR-10-2026-MDC-C-1,"EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DE LOS SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL TACALA, DISTRITO DE CASTILLA, PROVINCIA Y DEPARTAMENTO DE PIURA, CON CUI N°2681071",PE-CONSUCODE-1585,MUNICIPALIDAD DISTRITAL DE CASTILLA,2026-06-23T19:36:00-05:00,Licitación Pública Abreviada,works,works,1756368.6,PEN,Soles,1756368.6,2026-06-23T00:00:00-05:00,2026-06-23T00:00:00-05:00,2026-06-24T00:01:00-05:00,2026-06-26T23:59:00-05:00,2,41,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1230898,ocds-dgv273-seacev3-1230898-2026-09-18T10:23:19.972874-05:00,compiled,2026-09-18T10:23:19.972860-05:00,ocds-dgv273-seacev3-1230898,2026-09-18T10:23:19.972879-05:00,tender,PE-CONSUCODE-1982,INSTITUTO PERUANO DEL DEPORTE,Fondos Públicos,,,1230898,CP SER-SM-8-2026-IPD/CS-1,CONTRATACIÓN DE SERVICIO DE CUSTODIA Y GESTIÓN DE ALMACENAMIENTO Y DISTRIBUCIÓN PARA LOS BIENES DEPORTIVOS Y NO DEPORTIVOS DEL INSTITUTO PERUANO DEL DEPORTE,PE-CONSUCODE-1982,INSTITUTO PERUANO DEL DEPORTE,2026-06-30T20:25:00-05:00,Concurso Público de Servicios,services,services,0.0,PEN,Soles,0.0,2026-06-30T00:00:00-05:00,2026-06-30T00:00:00-05:00,2026-07-01T00:01:00-05:00,2026-07-22T23:59:00-05:00,21,,True,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-2026-23-14,ocds-dgv273-seacev3-2026-23-14-2026-09-18T10:23:18.625556-05:00,compiled,2026-09-18T10:23:18.625544-05:00,ocds-dgv273-seacev3-2026-23-14,2026-09-18T10:23:18.625562-05:00,tender,PE-CONSUCODE-23,MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,Fondos Públicos,,,1228758,CP-ABR-8-2026-MTPE-1,SERVICIO DE SEGURO DE ACCIDENTES PERSONALES PARA EL MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO,PE-CONSUCODE-23,MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,2026-06-25T15:28:00-05:00,Concurso Público Abreviado,services,services,0.0,USD,Dólar Norteamericano,0.0,2026-06-25T00:00:00-05:00,2026-06-25T00:00:00-05:00,2026-06-26T00:01:00-05:00,2026-07-01T23:59:00-05:00,5,,True,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1229667,ocds-dgv273-seacev3-1229667-2026-09-18T10:23:18.610455-05:00,compiled,2026-09-18T10:23:18.610441-05:00,ocds-dgv273-seacev3-1229667,2026-09-18T10:23:18.610460-05:00,tender,PE-CONSUCODE-1926,BANCO CENTRAL DE RESERVA DEL PERÚ,Fondos Públicos,,,1229667,LP-SM-13-2026-BCRPLIM-1,Adquisición de dos sistemas de videowall para Pagos Minoristas y GTI ¿ Local Carabaya,PE-CONSUCODE-1926,BANCO CENTRAL DE RESERVA DEL PERÚ,2026-06-30T16:12:00-05:00,Licitación Pública,goods,goods,542439.0,PEN,Soles,542439.0,2026-06-30T00:00:00-05:00,2026-06-30T00:00:00-05:00,2026-07-01T00:01:00-05:00,2026-07-09T23:59:00-05:00,8,19,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,,,
ocds-dgv273-seacev3-1228458,ocds-dgv273-seacev3-1228458-2026-09-18T10:23:18.558138-05:00,compiled,2026-09-18T10:23:18.558125-05:00,ocds-dgv273-seacev3-1228458,2026-09-18T10:23:18.558144-05:00,tender,PE-CONSUCODE-33,GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,Fondos Públicos,,,1228458,AS-SM-96-2024-GRA/CS-5,"ADQUISICIÓN DE MÁQUINAS, EQUIPOS Y HERRAMIENTAS PARA LOS PLANES DE NEGOCIO DE LAS SIGUIENTES ASOCIACIONES: AEO EMPRESA GRUPO PROGRESO SAC DEL DISTRITO DE CARHUAZ, AEO EMPRESA V.G. WELDING SAC, DISTRITO DE INDEPENDENCIA, AEO CARPINTERIA LOS HERMANOS PUNTILLO NIVIN DEL DISTRITO DE TINCO, REGION ANCASH",PE-CONSUCODE-33,GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,2026-06-24T17:05:00-05:00,Adjudicación Simplificada,goods,goods,442230.0,PEN,Soles,442230.0,2026-06-24T00:00:00-05:00,2026-06-24T00:00:00-05:00,2026-06-25T00:01:00-05:00,2026-06-26T23:59:00-05:00,1,13,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,442230.0,PEN,Soles
ocds-dgv273-seacev3-2026-1003000933-33,ocds-dgv273-seacev3-2026-1003000933-33-2026-09-18T10:23:18.528789-05:00,compiled,2026-09-18T10:23:18.528776-05:00,ocds-dgv273-seacev3-2026-1003000933-33,2026-09-18T10:23:18.528794-05:00,tender,PE-CONSUCODE-200683,IAFAS DEL EJERCITO DEL PERU (FOSPEME),Fondos Públicos,,,1228929,LP-SM-7-2026-IAFAS-EP-1,ADQUISICION DE PRODUCTOS FARMACEUTICOS DE BAJA ROTACION GRUPO I,PE-CONSUCODE-200683,IAFAS DEL EJERCITO DEL PERU (FOSPEME),2026-06-26T17:21:00-05:00,Licitación Pública,goods,goods,3410736.13,PEN,Soles,3410736.13,2026-06-26T00:00:00-05:00,2026-06-26T00:00:00-05:00,2026-06-27T00:01:00-05:00,2026-07-08T23:59:00-05:00,11,18,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,3410741.12,PEN,Soles
ocds-dgv273-seacev3-1228121,ocds-dgv273-seacev3-1228121-2026-09-18T10:23:18.521595-05:00,compiled,2026-09-18T10:23:18.521582-05:00,ocds-dgv273-seacev3-1228121,2026-09-18T10:23:18.521600-05:00,tender,PE-CONSUCODE-200363,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Fondos Públicos,,,1228121,LP-SM-8-2026-CENARES/MINSA-1,ADQUISICIÓN DE EQUIPOS DE PROTECCIÓN PERSONAL ¿ COMPRA CENTRALIZADA PARA EL ABASTECIMIENTO POR UN PERIODO DE DOCE (12) MESES ¿ TRES (03) ÍTEMS,PE-CONSUCODE-200363,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,2026-06-23T21:18:00-05:00,Licitación Pública,goods,goods,0.0,PEN,Soles,0.0,2026-06-23T00:00:00-05:00,2026-06-23T00:00:00-05:00,2026-06-24T00:01:00-05:00,2026-07-03T23:59:00-05:00,9,,True,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,,,
ocds-dgv273-seacev3-1226082,ocds-dgv273-seacev3-1226082-2026-09-18T10:23:18.495974-05:00,compiled,2026-09-18T10:23:18.495961-05:00,ocds-dgv273-seacev3-1226082,2026-09-18T10:23:18.495979-05:00,tender,PE-CONSUCODE-1621,MUNICIPALIDAD PROVINCIAL DE PAITA,Fondos Públicos,CREACION DEL SERVICIO DE MOVILIDAD URBANA EN PISTAS Y VEREDAS DEL A.H JUAN VALER SECTOR II   DISTRITO DE PAITA DE LA PROVINCIA DE PAITA DEL DEPARTAMENTO DE PIURA,2665513,1226082,CP-ABR-9-2026-MPP-C-1,"ELABORACIÓN DEL EXPEDIENTE TECNICO DE OBRA: ""CREACION DEL SERVICIO DE MOVILIDAD URBANA EN PISTAS Y VEREDAS DEL A.H JUAN VALER SECTOR II DISTRITO DE PAITA DE LA PROVINCIA DE PAITA DEL DEPARTAMENTO DE PIURA"" con CUI N°2665513",PE-CONSUCODE-1621,MUNICIPALIDAD PROVINCIAL DE PAITA,2026-06-16T22:19:00-05:00,Concurso Público Abreviado,services,services,319308.0,PEN,Soles,319308.0,2026-06-16T00:00:00-05:00,2026-06-16T00:00:00-05:00,2026-06-17T00:01:00-05:00,2026-06-19T23:59:00-05:00,2,17,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,319308.0,PEN,Soles
ocds-dgv273-seacev3-1229689,ocds-dgv273-seacev3-1229689-2026-09-18T10:23:18.421646-05:00,compiled,2026-09-18T10:23:18.421633-05:00,ocds-dgv273-seacev3-1229689,2026-09-18T10:23:18.421651-05:00,tender,PE-CONSUCODE-2000,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,Fondos Públicos,,,1229689,CP-ABR-35-2026-SUNAT/3G0080-1,SERVICIO DE SUPERVISIÓN DE MANTENIMIENTO DE EQUIPOS ELECTROMECÁNICOS PARA EL CENTRO DE ATENCIÓN EN FRONTERA SANTA ROSA - TACNA,PE-CONSUCODE-2000,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,2026-06-30T16:59:00-05:00,Concurso Público Abreviado,services,services,478202.4,PEN,Soles,478202.4,2026-06-30T00:00:00-05:00,2026-06-30T00:00:00-05:00,2026-07-01T00:01:00-05:00,2026-07-03T23:59:00-05:00,2,28,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1225300,ocds-dgv273-seacev3-1225300-2026-09-18T10:23:18.389979-05:00,compiled,2026-09-18T10:23:18.389965-05:00,ocds-dgv273-seacev3-1225300,2026-09-18T10:23:18.389984-05:00,tender,PE-CONSUCODE-30,REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL,Fondos Públicos,,,1225300,DIRECTA-DIRECTA-7-2026-RENIEC-1,ALQUILER DE LOCAL - OFICINA REGISTRAL CHOTA,PE-CONSUCODE-30,REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL,2026-06-15T11:23:00-05:00,Contratación Directa,services,services,180000.0,PEN,Soles,180000.0,,,,,,1,False,2026-06,añoPublicacionProceso;mesPublicacionProceso,direct,180000.0,PEN,Soles
ocds-dgv273-seacev3-1226900,ocds-dgv273-seacev3-1226900-2026-09-18T10:23:18.379373-05:00,compiled,2026-09-18T10:23:18.379359-05:00,ocds-dgv273-seacev3-1226900,2026-09-18T10:23:18.379378-05:00,tender,PE-CONSUCODE-203747,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,Fondos Públicos,,,1226900,CP SER-SM-2-2026-DIRIS LE-1,"CONTRATACIÓN DE  SERVICIO DE ALIMENTACIÓN COLECTIVA PARA LOS PACIENTES HOSPITALIZADOS Y PERSONAL DE GUARDIA DE LOS CENTROS MATERNOS INFANTILES: SANTA ANITA\n(RIS SANTA ANITA), SAN FERNANDO (RIS ATE), TAMBO VIEJO (RIS LA MOLINA),\nJICAMARCA (RIS JICAMARCA), MIGUEL GRAU (RIS CHACLACAYO) DE LA DIRIS LIMA",PE-CONSUCODE-203747,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE,2026-06-18T18:15:00-05:00,Concurso Público de Servicios,services,services,1117009.0,PEN,Soles,1117009.0,2026-06-18T00:00:00-05:00,2026-06-18T00:00:00-05:00,2026-06-19T00:01:00-05:00,2026-06-30T23:59:00-05:00,11,12,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-2026-1343-20,ocds-dgv273-seacev3-2026-1343-20-2026-09-18T10:23:18.345549-05:00,compiled,2026-09-18T10:23:18.345536-05:00,ocds-dgv273-seacev3-2026-1343-20,2026-09-18T10:23:18.345554-05:00,tender,PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,Fondos Públicos,"CREACION DEL SERVICIO DE MOVILIDAD URBANA EN CALLE VIRGEN DE LAS MERCEDES, PSJ. VIRGEN DE CHAPI Y PSJ. MARIA MAGDALENA   DISTRITO DE SANTA ANITA DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA",2644632,1221043,LP-ABR-3-2026-CS/MDSA-1,"CREACION DEL SERVICIO DE MOVILIDAD URBANA EN CALLE VIRGEN DE LAS MERCEDES, PSJ. VIRGEN DE CHAPI Y PSJ. MARIA MAGDALENA DISTRITO DE SANTA ANITA DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA",PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,2026-06-01T19:50:00-05:00,Licitación Pública Abreviada,works,works,1864223.39,PEN,Soles,1864223.39,2026-06-01T00:00:00-05:00,2026-06-01T00:00:00-05:00,2026-06-02T00:01:00-05:00,2026-06-04T23:59:00-05:00,2,29,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,1864223.39,PEN,Soles
ocds-dgv273-seacev3-1225422,ocds-dgv273-seacev3-1225422-2026-09-18T10:23:18.335632-05:00,compiled,2026-09-18T10:23:18.335619-05:00,ocds-dgv273-seacev3-1225422,2026-09-18T10:23:18.335638-05:00,tender,PE-CONSUCODE-461,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA - CHIVAY,Fondos Públicos,"MEJORAMIENTO DE LOS SERVICIOS TURISTICOS PUBLICOS DE LA RUTA TURISTICA DEL VALLE DEL COLCA EN EL CASCO URBANO DE LA LOCALIDAD DE CHIVAY - PROVINCIA DE CAYLLOMA, REGION AREQUIPA",2235746,1225422,CP CON-SM-1-2026-CS/MPC-1,"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA PARA SUPERVISIÓN DEL SALDO DE OBRA: MEJORAMIENTO DE LOS SERVICIOS TURÍSTICOS PÚBLICOS DE LA RUTA TURÍSTICA DEL CALLE DEL COLCA EN EL CASCO URBANO DE LA LOCALIDAD DE CHIVAY, PROVINCIA DE CAYLLOMA, REGIÓN AREQUIPA - SALDO DE OBRA DE RESTAURACIÓN DE I",PE-CONSUCODE-461,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA - CHIVAY,2026-06-15T17:32:00-05:00,Concurso Público para Consultoría,services,services,487760.0,PEN,Soles,487760.0,2026-06-15T00:00:00-05:00,2026-06-15T00:00:00-05:00,2026-06-16T00:01:00-05:00,2026-06-24T23:59:00-05:00,8,15,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1226761,ocds-dgv273-seacev3-1226761-2026-09-18T10:23:18.328140-05:00,compiled,2026-09-18T10:23:18.328126-05:00,ocds-dgv273-seacev3-1226761,2026-09-18T10:23:18.328145-05:00,tender,PE-CONSUCODE-1908,UNIVERSIDAD NACIONAL SAN AGUSTIN,Fondos Públicos,"ADQUISICIÓN DE EQUIPOS DE ORIENTACIÓN; EN EL(LA) FACULTAD DE INGENIERIA GEOLOGICA, GEOFISICA Y MINAS DE LA UNIVERSIDAD NACIONAL DE SAN AGUSTIN,  DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA",2432110,1226761,LP-ABR-10-2026-UNSA-1,"Adquisición de Gabinete de ventilación minera para la adquisición de equipamiento de la IOARR: Adquisición de equipos de orientación en la facultad de Ingeniería Geológica, Geofísica y Minas de la UNSA. CUI 2432110",PE-CONSUCODE-1908,UNIVERSIDAD NACIONAL SAN AGUSTIN,2026-06-18T15:13:00-05:00,Licitación Pública Abreviada,goods,goods,144700.0,PEN,Soles,144700.0,2026-06-18T00:00:00-05:00,2026-06-18T00:00:00-05:00,2026-06-19T00:01:00-05:00,2026-06-23T23:59:00-05:00,4,4,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1235097,ocds-dgv273-seacev3-1235097-2026-09-18T10:23:18.317782-05:00,compiled,2026-09-18T10:23:18.317768-05:00,ocds-dgv273-seacev3-1235097,2026-09-18T10:23:18.317787-05:00,tender,PE-CONSUCODE-1209,MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO,Fondos Públicos,"CREACION DEL SERVICIO DE MOVILIDAD URBANA EN TRAMO DE LA VÍA DE CIRCUNVALACIÓN Y ACCESO A LAS PAMPAS DE PURRUMPAMPA EN LA JUNTA VECINAL N°09,   DISTRITO DE HUAMACHUCO DE LA PROVINCIA DE SANCHEZ CARRION DEL DEPARTAMENTO DE LA LIBERTAD",2675727,1235097,LP-SM-3-2026-MPSC-1,"EJECUCION DE LA OBRA: ""CREACION DEL SERVICIO DE MOVILIDAD URBANA EN TRAMO DE LA VIA DE CINCUNVALACION Y ACCESO A LAS PAMPAS DE PURRUMPAMPA EN LA JUNTA VECINAL N° 09 , DISTRITO DE HUAMACHUCO DE LA PROVINCIA DE SANCHEZ CARRION DEL DEPARTAMENTO DE LA LIBERTAD"", CON CUI: 2675727.",PE-CONSUCODE-1209,MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO,2026-06-23T11:50:00-05:00,Licitación Pública,works,works,5667044.53,PEN,Soles,5667044.53,2026-06-23T00:00:00-05:00,2026-06-23T00:00:00-05:00,2026-06-24T00:01:00-05:00,2026-07-06T23:59:00-05:00,12,19,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,,,
ocds-dgv273-seacev3-1220159,ocds-dgv273-seacev3-1220159-2026-09-18T10:23:18.294899-05:00,compiled,2026-09-18T10:23:18.294886-05:00,ocds-dgv273-seacev3-1220159,2026-09-18T10:23:18.294904-05:00,tender,PE-CONSUCODE-326,MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,Fondos Públicos,"ADQUISICION DE COMPACTADORA DE RESIDUOS, CARGADOR FRONTAL, VOLQUETE Y VEHICULO; ADEMÁS DE OTROS ACTIVOS EN EL(LA) UNIDAD DE GESTION DE RESIDUOS SOLIDOS DE LA MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS  DISTRITO DE ANDAHUAYLAS, PROVINCIA ANDAHUAYLAS, DEPARTAMENTO APURIMAC",2588761,1220159,LP-SM-2-2026-MPA-1,"CONTRATACION PARA LA ADQUISICION DE CARGADOR FRONTAL PARA LA ATENCION DE LOS SERVICIOS SOLIDOS Y EL TRATAMIENTO DE RESIDUOS SOLIDOS EN LA PLANTA DE TRATAMIENTO SANITARIO DE UNION CHUMBAO DEL DISTRITO DE SAN JERONIMO, PROVINCIA DE ANDAHUAYLAS, DEPARTAMENTO DE APURIMAC",PE-CONSUCODE-326,MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS,2026-06-01T17:50:00-05:00,Licitación Pública,goods,goods,1182257.76,PEN,Soles,1182257.76,2026-06-01T00:00:00-05:00,2026-06-01T00:00:00-05:00,2026-06-02T00:01:00-05:00,2026-06-11T23:59:00-05:00,9,12,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,open,,,
ocds-dgv273-seacev3-2026-1003013319-31,ocds-dgv273-seacev3-2026-1003013319-31-2026-09-18T10:23:18.260559-05:00,compiled,2026-09-18T10:23:18.260545-05:00,ocds-dgv273-seacev3-2026-1003013319-31,2026-09-18T10:23:18.260564-05:00,tender,PE-CONSUCODE-201144,UNIDAD EJECUTORA 120 PROGRAMA NACIONAL DE DOTACION DE MATERIALES EDUCATIVOS,Fondos Públicos,,,1222969,CP SER-SM-15-2026-MINEDU/UE120-1,"SERVICIO DE TRANSPORTE DE CARGA PARA LA DISTRIBUCIÓN DE MATERIALES EDUCATIVOS, RECURSOS COMPLEMENTARIOS Y OTROS A NIVEL NACIONAL",PE-CONSUCODE-201144,UNIDAD EJECUTORA 120 PROGRAMA NACIONAL DE DOTACION DE MATERIALES EDUCATIVOS,2026-06-05T21:06:00-05:00,Concurso Público de Servicios,services,services,14309472.45,PEN,Soles,14309472.45,2026-06-05T00:00:00-05:00,2026-06-05T00:00:00-05:00,2026-06-06T00:01:00-05:00,2026-06-16T23:59:00-05:00,10,32,False,2026-06,añoInicioConvocatoria;mesInicioConvocatoria,,,,
